SERIES,SYMBOL,SECURITY,RECORD_DT,BC_STRT_DT,BC_END_DT,EX_DT,ND_STRT_DT,ND_END_DT,PURPOSE
MF,MXIRD,SUNDARMAMC - MXIRD,28/12/2020, , , , , ,REDEMPTION               
MF,MXIDG,SUNDARMAMC - MXIDG,28/12/2020, , , , , ,REDEMPTION               
MF,MXIDD,SUNDARMAMC - MXIDD,28/12/2020, , , , , ,REDEMPTION               
MF,ABSLFTQURQ,BIRLASLAMC - ABSLFTQURQ,28/12/2020, , ,24/12/2020, , ,DIVIDEND                 
MF,ABSLFTQUDQ,BIRLASLAMC - ABSLFTQUDQ,28/12/2020, , ,24/12/2020, , ,DIVIDEND                 
MF,ABSLFTQNDQ,BIRLASLAMC - ABSLFTQNDQ,28/12/2020, , ,24/12/2020, , ,DIVIDEND                 
MF,ABSLFTQODQ,BIRLASLAMC - ABSLFTQODQ,28/12/2020, , ,24/12/2020, , ,DIVIDEND                 
MF,ABSLFTQORQ,BIRLASLAMC - ABSLFTQORQ,28/12/2020, , ,24/12/2020, , ,DIVIDEND                 
MF,ABSLFTQVDQ,BIRLASLAMC - ABSLFTQVDQ,28/12/2020, , ,24/12/2020, , ,DIVIDEND                 
MF,ABSLFTQVRQ,BIRLASLAMC - ABSLFTQVRQ,28/12/2020, , ,24/12/2020, , ,DIVIDEND                 
MF,ABSLFTQYRQ,BIRLASLAMC - ABSLFTQYRQ,28/12/2020, , ,24/12/2020, , ,DIVIDEND                 
MF,ABSLFTQQDQ,BIRLASLAMC - ABSLFTQQDQ,28/12/2020, , ,24/12/2020, , ,DIVIDEND                 
MF,ABSLFTQQRQ,BIRLASLAMC - ABSLFTQQRQ,28/12/2020, , ,24/12/2020, , ,DIVIDEND                 
MF,ABSLFTQMRQ,BIRLASLAMC - ABSLFTQMRQ,28/12/2020, , ,24/12/2020, , ,DIVIDEND                 
MF,ABSLFTPERQ,BIRLASLAMC - ABSLFTPERQ,28/12/2020, , ,24/12/2020, , ,DIVIDEND                 
MF,ABSLFTPEDQ,BIRLASLAMC - ABSLFTPEDQ,28/12/2020, , ,24/12/2020, , ,DIVIDEND                 
MF,ABSLFTPYDQ,BIRLASLAMC - ABSLFTPYDQ,28/12/2020, , ,24/12/2020, , ,DIVIDEND                 
MF,ABSLFTQXRQ,BIRLASLAMC - ABSLFTQXRQ,28/12/2020, , ,24/12/2020, , ,DIVIDEND                 
MF,ABSLFTRCRQ,BIRLASLAMC - ABSLFTRCRQ,28/12/2020, , ,24/12/2020, , ,DIVIDEND                 
MF,ABSLFTRCDQ,BIRLASLAMC - ABSLFTRCDQ,28/12/2020, , ,24/12/2020, , ,DIVIDEND                 
MF,ABSLFTPHDQ,BIRLASLAMC - ABSLFTPHDQ,28/12/2020, , ,24/12/2020, , ,DIVIDEND                 
MF,ABSLFTPHRQ,BIRLASLAMC - ABSLFTPHRQ,28/12/2020, , ,24/12/2020, , ,DIVIDEND                 
MF,ABSLFTRDRQ,BIRLASLAMC - ABSLFTRDRQ,28/12/2020, , ,24/12/2020, , ,DIVIDEND                 
MF,ABSLFTQWRQ,BIRLASLAMC - ABSLFTQWRQ,28/12/2020, , ,24/12/2020, , ,DIVIDEND                 
MF,ABSLFTQWDQ,BIRLASLAMC - ABSLFTQWDQ,28/12/2020, , ,24/12/2020, , ,DIVIDEND                 
MF,ABSLFTQXDQ,BIRLASLAMC - ABSLFTQXDQ,28/12/2020, , ,24/12/2020, , ,DIVIDEND                 
MF,ABSLFTRERQ,BIRLASLAMC - ABSLFTRERQ,28/12/2020, , ,24/12/2020, , ,DIVIDEND                 
MF,ABSLFTREDQ,BIRLASLAMC - ABSLFTREDQ,28/12/2020, , ,24/12/2020, , ,DIVIDEND                 
