MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,YN,SRTRANSFIN,SEC RED NCD SR. VII,      1245.00,      1245.00,      1246.00,      1245.00,      1246.00,                   143200.00,115, ,2,      1255.00,       961.10
N,YO,SRTRANSFIN,SEC RED NCD 9.12% SR. I,      1009.00,      1018.89,      1018.90,      1008.00,      1008.67,                    72034.90,71, ,8,      1110.00,       771.05
N,YP,SRTRANSFIN,SEC RED NCD 9.30% SR. II,      1015.00,      1029.90,      1042.00,      1020.00,      1042.00,                   102022.80,99, ,9,      1042.00,       852.40
N,YQ,SRTRANSFIN,SEC RED NCD 9.40% SR. III,      1015.00,      1015.50,      1015.50,      1015.00,      1015.00,                    71065.00,70, ,2,      1079.80,       776.00
N,YS,SRTRANSFIN,SEC RED NCD 9.70% SR. V,      1060.00,      1045.00,      1070.00,      1045.00,      1070.00,                   212250.00,200, ,2,      1200.00,       915.00
N,YT,SRTRANSFIN,SEC RED NCD SR. VI,      1206.11,      1205.01,      1205.01,      1195.00,      1195.00,                   120270.01,100, ,4,      1210.00,       879.20
N,YV,SRTRANSFIN,SEC RED NCD 9.12% SR. I,      1019.06,      1015.00,      1018.00,      1015.00,      1018.00,                   233840.00,230, ,2,      1025.00,       875.00
N,YW,SRTRANSFIN,SEC RED NCD 9.30% SR. II,      1051.00,      1125.00,      1125.00,      1125.00,      1125.00,                   112500.00,100, ,2,      1125.00,       880.00
N,YX,SRTRANSFIN,SEC RED NCD 9.40% SR. III,      1081.00,      1081.00,      1086.25,      1081.00,      1085.00,                   217022.50,200, ,7,      1088.40,       831.00
N,Z1,SRTRANSFIN,SEC RED NCD SR. VI,      1191.00,      1183.00,      1184.00,      1183.00,      1184.00,                    70990.00,60, ,2,      1195.00,       848.01
N,Z7,SRTRANSFIN,SEC RED NCD 9.5% SR.V,      1025.00,      1005.05,      1012.00,      1005.05,      1010.61,                   102093.85,101, ,3,      1069.00,       900.20
N,Z8,SRTRANSFIN,SEC RED NCD 9.6% SR.VI,      1046.22,      1068.00,      1068.00,      1050.00,      1055.00,                   218175.00,206, ,11,      1068.00,       852.40
N,ZA,SRTRANSFIN,SEC RED NCD SR.VIII,      1086.55,      1110.00,      1110.00,      1110.00,      1110.00,                    55500.00,50, ,1,      1110.00,       792.20
N,ZD,SRTRANSFIN,SEC RED NCD 8.52% SR.I,       985.00,       966.10,       985.10,       966.10,       985.03,                   145861.50,150, ,4,      1076.50,       805.00
N,ZE,SRTRANSFIN,SEC RED NCD 8.66% SR.II,       962.10,       962.10,       962.10,       962.10,       962.10,                    14431.50,15, ,1,      1100.00,       800.65
N,ZH,SRTRANSFIN,SEC RED NCD 9% SR.V,      1046.80,      1060.00,      1070.00,      1055.80,      1056.81,                   131392.30,124, ,6,      1070.00,       795.00
