MKT,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,EQ,GLOBUSSPR,GLOBUS SPIRITS LTD,       309.25,       314.70,       316.90,       310.05,       311.60,                 11372327.05,36345,N, ,1518,       355.00,        60.75
N,EQ,GMBREW,G M BREWERIES LTD,       437.25,       437.70,       446.00,       433.15,       440.00,                 14712922.50,33383,N, ,1394,       470.00,       221.05
N,EQ,GMDCLTD,GUJARAT MINERAL DEV CORP,        49.90,        50.80,        51.20,        49.30,        49.75,                 55963164.00,1113237,N, ,7077,        72.50,        29.10
N,EQ,GMMPFAUDLR,GMM PFAUDLER LIMITED,      3574.05,      3600.00,      3619.95,      3565.00,      3583.55,                 94212291.70,26227,N, ,4836,      6900.00,      1766.00
N,EQ,GMRINFRA,GMR INFRASTRUCTURE LTD.,        26.05,        26.40,        26.40,        25.45,        25.80,                352092862.30,13627031,N, ,27941,        29.35,        14.10
N,EQ,GNA,GNA AXLES LIMITED,       246.70,       248.00,       255.00,       248.00,       252.45,                  8229563.95,32624,N, ,1270,       324.85,       126.15
N,EQ,GNFC,GUJ NAR VAL FER & CHEM L,       216.95,       220.10,       232.40,       220.05,       228.75,                381825660.20,1684621,N, ,19412,       254.75,        95.55
N,EQ,GOCLCORP,GOCL CORPORATION LIMITED,       194.80,       200.65,       205.70,       191.00,       195.70,                  1894128.70,9519,N, ,404,       299.00,       107.95
N,EQ,GODFRYPHLP,GODFREY PHILLIPS INDIA LT,       949.85,       965.00,      1025.00,       960.65,       984.10,                278759571.30,279760,N, ,13599,      1481.75,       732.00
N,EQ,GODHA,GODHA CABCON INSULAT LTD,        34.60,        36.30,        36.30,        36.30,        36.30,                   313087.50,8625,N, ,13,        36.30,        36.30
N,EQ,GODREJAGRO,GODREJ AGROVET LIMITED,       532.00,       536.00,       538.95,       530.00,       532.75,                 64624327.65,121101,N, ,9752,       598.00,       265.05
N,EQ,GODREJIND,GODREJ INDUSTRIES LTD,       431.45,       432.10,       436.20,       430.45,       434.55,                 67430301.65,155707,N, ,11838,       483.35,       233.40
N,EQ,GODREJPROP,GODREJ PROPERTIES LTD,      1375.15,      1381.80,      1398.00,      1355.00,      1364.10,               1321667577.00,960588,N, ,27081,      1404.85,       505.00
N,EQ,GOKEX,GOKALDAS EXPORTS LTD.,        90.95,        91.80,        92.20,        88.00,        89.30,                 15454624.05,172170,N, ,2265,        99.50,        27.80
N,EQ,GOKUL,GOKUL REFOILS & SOLV LTD,        17.10,        17.70,        17.70,        16.25,        16.85,                  1032110.80,61413,N, ,275,        19.60,         7.50
N,EQ,GOKULAGRO,GOKUL AGRO RESOURCES LTD,        18.45,        19.45,        19.45,        17.65,        18.25,                   961795.70,52232,N, ,387,        22.80,         7.60
N,EQ,GOLDENTOBC,GOLDEN TOBACCO LIMITED,        57.65,        59.80,        59.80,        54.05,        55.10,                  2894479.50,51746,N, ,834,        60.00,        18.60
N,EQ,GOLDIAM,GOLDIAM INTERNATIONAL LTD,       221.15,       224.00,       226.30,       214.10,       217.30,                 28068320.80,127835,N, ,3596,       234.50,        72.20
N,EQ,GOLDTECH,GOLDSTONE TECHNOLOGIES LT,        10.45,        10.90,        10.90,        10.10,        10.50,                   404208.35,38923,N, ,142,        16.00,         5.10
N,EQ,GOODLUCK,GOODLUCK INDIA LIMITED,        53.65,        54.00,        55.50,        53.65,        54.20,                  6049199.70,110787,N, ,1035,        68.00,        20.65
N,EQ,GOODYEAR,GOODYEAR INDIA LIMITED,       945.55,       964.90,       980.00,       951.00,       955.25,                 14624610.40,15163,N, ,1703,      1208.00,       759.00
N,EQ,GPIL,GODAWARI POW & ISP LTD,       448.45,       446.55,       470.85,       446.55,       453.25,                138713771.60,301124,N, ,5746,       495.00,        80.50
