MKT,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,WEBSOL ENERGY SYSTEM LTD,        39.75,        39.70,        41.70,        37.80,        41.70,                 19042210.35,476944,N, ,1721,        41.70,        11.50
N,WEIZMANN LTD,        51.40,        52.00,        52.85,        48.85,        49.50,                   588209.95,11736,N, ,151,        68.85,        14.00
N,WELSPUN CORP LIMITED,       132.20,       134.90,       134.90,       130.00,       130.70,                102836875.25,778461,N, ,6949,       233.95,        55.00
N,WELSPUN ENTERPRISES LTD.,        88.15,        89.90,        90.35,        85.95,        87.00,                  9475465.00,107960,N, ,1167,       100.20,        33.15
N,WELSPUN INV & COMM LTD,       356.30,       369.00,       369.00,       350.00,       353.85,                   606801.30,1699,N, ,160,       512.65,       133.00
N,WELSPUN INDIA LTD,        69.75,        70.10,        71.00,        68.15,        68.30,                 36337906.15,525704,N, ,3683,        78.00,        18.45
N,WENDT (INDIA) LIMITED,      3114.35,      3187.85,      3189.15,      3051.00,      3076.00,                  1900436.70,614,N, ,251,      4275.70,      1611.00
N,WESTLIFE DEVELOPMENT LTD,       444.75,       447.90,       448.40,       432.50,       437.50,                 58677702.25,133301,N, ,6725,       499.40,       267.00
N,WHEELS INDIA LTD,       494.05,       499.95,       513.75,       488.30,       491.60,                 19648928.75,39582,N, ,2151,       722.70,       279.35
N,WHIRLPOOL OF INDIA LTD,      2580.60,      2580.60,      2594.80,      2497.00,      2509.35,                246999209.20,97656,N, ,9570,      2607.85,      1343.80
N,WILLIAMSON MAGOR,        21.30,        21.00,        21.55,        20.10,        21.00,                   422888.40,20292,N, ,102,        26.90,         8.20
N,WOCKHARDT LIMITED,       489.75,       490.90,       514.00,       489.75,       509.70,                685294645.35,1352154,N, ,31822,       549.00,       146.70
N,WONDERLA HOLIDAYS LTD.,       207.25,       208.70,       210.00,       205.05,       206.15,                 15867886.65,76578,N, ,2799,       260.00,       105.00
N,WORTH PERIPHERALS LIMITED,        52.70,        53.00,        54.70,        49.40,        54.05,                  2066753.40,39121,N, ,412,        57.75,        37.85
N,WEST COAST PAPER MILLS LT,       173.85,       175.00,       175.55,       170.50,       171.10,                 17903036.70,104038,N, ,1893,       257.60,       100.05
N,XCHANGING SOLUTIONS LTD,        88.35,        87.25,        92.00,        83.00,        89.40,                217742879.90,2411621,N, ,11843,        98.90,        24.90
N,XELPMOC DESIGN & TECH LTD,       304.25,       322.80,       334.65,       319.00,       334.65,                 46114787.75,139022,N, ,1961,       334.65,        38.00
N,YAARII DIG INTEGR SER LTD,        79.05,        83.00,        83.00,        83.00,        83.00,                 13693589.00,164983,N, ,441,       146.50,        31.00
N,YES BANK LIMITED,        17.80,        17.85,        18.00,        17.60,        17.75,               1838986924.05,103589664,N, ,91666,        87.30,         5.65
N,ZEE ENTERTAINMENT ENT LTD,       220.15,       221.20,       223.30,       216.35,       218.15,               2667796235.50,12167033,N, ,64278,       304.50,       114.00
N,ZEE LEARN LIMITED,        13.90,        14.10,        14.10,        13.25,        13.55,                 12138699.65,894774,N, ,1621,        20.50,        10.05
N,ZEE MEDIA CORPORATION LTD,         6.10,         6.10,         6.20,         5.85,         6.00,                 11804875.50,1964277,N, ,1965,         8.10,         2.85
N,ZENSAR TECHNOLOGIES  LTD,       238.55,       240.00,       242.00,       235.25,       236.80,                 30633807.45,128133,N, ,3446,       267.00,        63.80
N,ZEN TECHNOLOGIES LIMITED,        88.95,        89.00,        90.90,        87.10,        87.55,                 15587227.95,176629,N, ,2553,        97.00,        21.30
N,ZODIAC ENERGY LIMITED,        13.00,        13.50,        13.50,        13.50,        13.50,                    54000.00,4000,N, ,1,        23.75,        11.25
N,ZODIAC CLOTHING CO. LTD.,       108.45,       110.00,       110.90,       106.05,       108.60,                  7834152.35,72511,N, ,771,       203.75,        81.00
N,ZODIAC JRD-MKJ LTD,        28.75,        29.90,        29.90,        27.80,        28.80,                    69783.80,2395,N, ,60,        39.50,        16.80
N,ZOTA HEALTH CARE LIMITED,       146.50,       147.45,       165.00,       142.35,       156.90,                 10982873.95,71131,N, ,564,       206.40,       121.10
