GAIN_LOSS,SECURITY,CLOSE_PRIC,PREV_CL_PR,PERCENT_CG
L,GPT INFRAPROJECTS LTD,        41.30,        44.20,-6.56
L,SEC RED NCD 8.43% SR. III,       850.00,       905.31,-6.11
L,DATAMATICS GLOBAL SER LTD,       105.85,       112.70,-6.08
L,INDIAN CARD CLOTHING CO.,       128.10,       136.30,-6.02
L,TIPS INDUSTRIES LIMITED,       306.35,       325.25,-5.81
L,RKEC PROJECTS LIMITED,        47.15,        50.05,-5.79
L,NAHAR POLY FILMS LIMITED,        96.10,       101.90,-5.69
L,UNITED DRILLING TOOLS LTD,       269.10,       285.10,-5.61
L,DHANI LOANS & SERV LTD,       960.00,      1014.80,-5.4
L,SEC RED NCD 8.40% SR.V,      1074.00,      1135.00,-5.37
L,MT EDUCARE LTD,        10.20,        10.75,-5.12
L,PRESSMAN ADVERTISING LTD,        24.15,        25.45,-5.11
L,SHREE RAMA MULTI TECH LTD,         8.45,         8.90,-5.06
L,SHREE RAM PROTEINS LTD.,        29.55,        31.10,-4.98
L,TREJHARA SOLUTIONS LTD,        41.15,        43.30,-4.97
L,TARMAT LIMITED,        52.75,        55.50,-4.95
L,KHANDWALA SECURITIES LTD,        21.10,        22.20,-4.95
L,DEWAN HOUSING FIN CORP LT,        26.90,        28.30,-4.95
